年月,船型,价格,单位价格
2019-12-01,灵便型,35.75,1117.1875
2019-12-01,苏伊士型,61.5,384.375
2019-12-01,阿芙拉型,48.5,440.90909090909093
2019-12-01,VLCC,92.0,306.6666666666667
2020-01-01,阿芙拉型,48.5,440.90909090909093
2020-01-01,苏伊士型,61.5,384.375
2020-01-01,VLCC,92.0,306.6666666666667
2020-01-01,灵便型,35.5,1109.375
2020-01-01,巴拿马型,44.5,593.3333333333334
2020-02-01,巴拿马型,44.5,593.3333333333334
2020-02-01,灵便型,35.5,1109.375
2020-02-01,阿芙拉型,48.5,440.90909090909093
2020-02-01,苏伊士型,61.5,384.375
2020-02-01,VLCC,92.0,306.6666666666667
2020-03-01,阿芙拉型,48.5,440.90909090909093
2020-03-01,苏伊士型,61.5,384.375
2020-03-01,VLCC,91.5,305.0
2020-03-01,灵便型,35.5,1109.375
2020-03-01,巴拿马型,44.5,593.3333333333334
2020-04-01,阿芙拉型,48.5,440.90909090909093
2020-04-01,苏伊士型,60.5,378.125
2020-04-01,VLCC,91.0,303.3333333333333
2020-04-01,灵便型,35.0,1093.75
2020-04-01,巴拿马型,44.5,593.3333333333334
2020-05-01,巴拿马型,44.0,586.6666666666666
2020-05-01,灵便型,34.75,1085.9375
2020-05-01,VLCC,89.0,296.6666666666667
2020-05-01,阿芙拉型,48.5,440.90909090909093
2020-05-01,苏伊士型,59.5,371.875
2020-06-01,苏伊士型,58.0,362.5
2020-06-01,VLCC,89.0,296.6666666666667
2020-06-01,灵便型,34.25,1070.3125
2020-06-01,巴拿马型,44.0,586.6666666666666
2020-06-01,阿芙拉型,48.5,440.90909090909093
2020-07-01,阿芙拉型,48.5,440.90909090909093
2020-07-01,苏伊士型,57.0,356.25
2020-07-01,VLCC,87.5,291.6666666666667
2020-07-01,灵便型,34.0,1062.5
2020-07-01,巴拿马型,43.0,573.3333333333334
2020-08-01,阿芙拉型,48.0,436.3636363636364
2020-08-01,苏伊士型,56.5,353.125
2020-08-01,VLCC,87.0,290.0
