年月,船型,船龄,折旧率
2017-07-01,巴拿马型,5,0.3614
2017-07-01,巴拿马型,10,0.6145
2017-07-01,巴拿马型,15,0.7590
2017-08-01,阿芙拉型,5,0.3023
2017-08-01,阿芙拉型,10,0.5349
2017-08-01,阿芙拉型,15,0.7209
2017-08-01,苏伊士型,5,0.2593
2017-08-01,苏伊士型,10,0.5370
2017-08-01,苏伊士型,15,0.7407
2017-08-01,VLCC,5,0.2222
2017-08-01,VLCC,10,0.5185
2017-08-01,VLCC,15,0.7346
2017-08-01,巴拿马型,5,0.3614
2017-08-01,巴拿马型,10,0.5904
2017-08-01,巴拿马型,15,0.7590
2017-09-01,阿芙拉型,5,0.3023
2017-09-01,阿芙拉型,10,0.5349
2017-09-01,阿芙拉型,15,0.7674
2017-09-01,苏伊士型,5,0.2778
2017-09-01,苏伊士型,10,0.5556
2017-09-01,苏伊士型,15,0.7407
2017-09-01,VLCC,5,0.2222
2017-09-01,VLCC,10,0.5185
2017-09-01,VLCC,15,0.7346
2017-09-01,巴拿马型,5,0.3614
2017-09-01,巴拿马型,10,0.5904
2017-09-01,巴拿马型,15,0.7590
2017-10-01,巴拿马型,5,0.3614
2017-10-01,巴拿马型,10,0.5904
2017-10-01,巴拿马型,15,0.7590
2017-10-01,苏伊士型,5,0.2593
2017-10-01,苏伊士型,10,0.5370
2017-10-01,苏伊士型,15,0.7407
2017-10-01,阿芙拉型,5,0.3023
2017-10-01,阿芙拉型,10,0.5349
2017-10-01,阿芙拉型,15,0.7674
2017-10-01,VLCC,5,0.2222
2017-10-01,VLCC,10,0.5309
2017-10-01,VLCC,15,0.7284
2017-11-01,阿芙拉型,5,0.3182
2017-11-01,阿芙拉型,10,0.5909
2017-11-01,阿芙拉型,15,0.7727
2017-11-01,苏伊士型,5,0.2661
2017-11-01,苏伊士型,10,0.5413
2017-11-01,苏伊士型,15,0.7064
2017-11-01,VLCC,5,0.2222
2017-11-01,VLCC,10,0.5309
2017-11-01,VLCC,15,0.7284
2017-11-01,巴拿马型,5,0.3614
2017-11-01,巴拿马型,10,0.5904
2017-11-01,巴拿马型,15,0.7590
2017-12-01,巴拿马型,5,0.3253
2017-12-01,巴拿马型,10,0.5422
2017-12-01,巴拿马型,15,0.7349
2017-12-01,VLCC,5,0.2147
2017-12-01,VLCC,10,0.4969
2017-12-01,VLCC,15,0.7055
2017-12-01,苏伊士型,5,0.2182
2017-12-01,苏伊士型,10,0.4909
2017-12-01,苏伊士型,15,0.6818
2017-12-01,阿芙拉型,5,0.2727
2017-12-01,阿芙拉型,10,0.5000
2017-12-01,阿芙拉型,15,0.7273
2018-01-01,阿芙拉型,5,0.2889
2018-01-01,阿芙拉型,10,0.5111
2018-01-01,阿芙拉型,15,0.7333
2018-01-01,苏伊士型,5,0.2500
2018-01-01,苏伊士型,10,0.5179
2018-01-01,苏伊士型,15,0.6964
2018-01-01,VLCC,5,0.2410
2018-01-01,VLCC,10,0.5181
2018-01-01,VLCC,15,0.6988
2018-01-01,巴拿马型,5,0.3412
2018-01-01,巴拿马型,10,0.5529
2018-01-01,巴拿马型,15,0.7412
2018-02-01,巴拿马型,5,0.3488
2018-02-01,巴拿马型,10,0.5581
2018-02-01,巴拿马型,15,0.7558
2018-02-01,VLCC,5,0.2544
2018-02-01,VLCC,10,0.5266
2018-02-01,VLCC,15,0.7041
2018-02-01,苏伊士型,5,0.2632
2018-02-01,苏伊士型,10,0.5263
2018-02-01,苏伊士型,15,0.7018
2018-02-01,阿芙拉型,5,0.3333
2018-02-01,阿芙拉型,10,0.5556
2018-02-01,阿芙拉型,15,0.7556
2018-03-01,阿芙拉型,5,0.3187
2018-03-01,阿芙拉型,10,0.5604
2018-03-01,阿芙拉型,15,0.7582
2018-03-01,苏伊士型,5,0.2564
2018-03-01,苏伊士型,10,0.5299
2018-03-01,苏伊士型,15,0.7094
2018-03-01,VLCC,5,0.2558
2018-03-01,VLCC,10,0.5058
2018-03-01,VLCC,15,0.7093
2018-03-01,巴拿马型,5,0.3256
2018-03-01,巴拿马型,10,0.5581
2018-03-01,巴拿马型,15,0.7558
2018-04-01,巴拿马型,5,0.3256
2018-04-01,巴拿马型,10,0.5581
2018-04-01,巴拿马型,15,0.7558
2018-04-01,苏伊士型,5,0.2564
2018-04-01,苏伊士型,10,0.5299
2018-04-01,苏伊士型,15,0.7094
2018-04-01,阿芙拉型,5,0.2967
2018-04-01,阿芙拉型,10,0.5604
2018-04-01,阿芙拉型,15,0.7582
2018-04-01,VLCC,5,0.2644
2018-04-01,VLCC,10,0.5287
2018-04-01,VLCC,15,0.7126
2018-05-01,阿芙拉型,5,0.3043
2018-05-01,阿芙拉型,10,0.5652
2018-05-01,阿芙拉型,15,0.7609
2018-05-01,苏伊士型,5,0.2564
2018-05-01,苏伊士型,10,0.5299
2018-05-01,苏伊士型,15,0.7094
2018-05-01,VLCC,5,0.2644
2018-05-01,VLCC,10,0.5402
2018-05-01,VLCC,15,0.7126
2018-05-01,巴拿马型,5,0.3256
2018-05-01,巴拿马型,10,0.5581
2018-05-01,巴拿马型,15,0.7558
2018-06-01,巴拿马型,5,0.3064
2018-06-01,巴拿马型,10,0.5838
2018-06-01,巴拿马型,15,0.7572
2018-06-01,VLCC,5,0.2768
2018-06-01,VLCC,10,0.5480
2018-06-01,VLCC,15,0.7175
2018-06-01,苏伊士型,5,0.2627
2018-06-01,苏伊士型,10,0.5339
2018-06-01,苏伊士型,15,0.7288
