Name,Vessel type,MMSI,IMO,Beneficial Owner,Registered Owner,Class,Builder,Operator,Technical Manager
Sloman Themis,MR1 TNKR,305485000,9306677,Sloman Neptun,SLOMAN THEMIS,DNV,Dalian Shipbuilding Industry Corp,Maersk Handy Pool,Sloman Neptun
Sloman Thetis,MR1 TNKR,305496000,9306653,Sloman Neptun,SLOMAN THETIS MBH & CO KG,DNV,Dalian Shipbuilding Industry Corp,Maersk Handy Pool,Sloman Neptun
Slops X,MR1 TNKR,,7356290,Undisclosed,,,Davie Yards,Undisclosed,Undisclosed
SM 19,SMALL CLEAN TNKR,567060200,8811003,SMMC,SIAM MONGKOL MARINE CO LTD,Other,Hakata Zosen,SMMC,SMMC
SM 20,SMALL CLEAN TNKR,567026000,8900880,Sirisopa Inter,SIRISOPA INTER CO LTD,ABS,Singapore Slipway and Engineering,Sirisopa Inter,Sirisopa Inter
SM 21,SMALL CLEAN TNKR,567417000,9021564,SMMC,SIAM THANANYA MARINE CO LTD,KRS,STX,SMMC,SMMC
SM 22,SMALL CLEAN TNKR,567063400,9367499,SMMC,SIAM MONGKOL MARINE CO LTD,BV,Duchang County,SMMC,Grace Ocean Marine
SM 23,SMALL CHEMICAL TNKR,567069100,9186170,SMMC,SIAM THANANYA MARINE CO LTD,RINA,Kyoei Zosen,SMMC,Tim Ship Management Co LTD
SM 24,SMALL CLEAN TNKR,567038200,8712374,SMMC,SIAM MONGKOL MARINE CO LTD,nonIACS,Kurinoura Dock,SMMC,SMMC
SM 25,SMALL CLEAN TNKR,567073500,8744339,SMMC,SIAM MONGKOL MARINE CO LTD,,Daxie,SMMC,SMMC
SM Apollo,SMALL CLEAN TNKR,710002780,7020607,Bravante Group,BALLASTER HOLDINGS SA,BV,Hakodate Dock,Bravante Group,Bravante Group
SM Falcon,MR2 TNKR (Chemical / Product),352781000,9786243,Korea Line Corp,KOREA TONNAGE NO 74 SHIPPING,ABS/KRS,Samsung,Clearlake Shipping,KLC SM
SM Navigator,MR2 TNKR,356916000,9428841,KAMCO,KOREA TONNAGE NO 65 SHIPPING,KRS,SLS,Norden Tanker Pool,KLC SM
SM Osprey,MR2 TNKR (Chemical / Product),374220000,9786231,KAMCO,KOREA TONNAGE NO 73 SHIPPING,ABS/KRS,Samsung,Korea Line Corp,KLC SM
SM Spiridon,LIVESTOCK,450521000,7365253,Rami Shipmanagement,,RINA,Cantieri Benetti,Rami Shipmanagement,Rami Shipmanagement
SM Venus2,VLCC,371572000,9853591,Korea Line Corp,SMKLC VLCC4 SA,KRS,Hyundai Samho Heavy Ind,Korea Line LNG,KLC SM
SM White Whale1,VLCC,357216000,9854703,Korea Line Corp,SMKLC VLCC1 SA,KRS,Daewoo,Korea Line LNG,KLC SM
SMA,SMALL DIRTY TNKR (Asphalt),518100962,9273002,Indo Gulf Ship Management,SMA SHIPPING INC,CCS,Shin Kochi,Indo Gulf Ship Management,Indo Gulf Ship Management
Smaragd,SMALL CLEAN TNKR (Inland),205240890,9912402,Undisclosed,,LRS,Jiangsu Haitong,Undisclosed,Undisclosed
Smart Genius 3,SMALL CLEAN TNKR (Bunkering),477995167,8666393,Chuang Xin China Group,PACIFIC ENERGY MARINE,Other,Fishing Vessel Factory,Chuang Xin China Group,Chuang Xin China Group
Smart Genius 8,SMALL CLEAN TNKR (Bunkering),477996432,8666381,Chuang Xin China Group,ABLE PROGRESS INTERNATIONAL,,Panyu Lingshan Shipyard,Chuang Xin China Group,Chuang Xin China Group
SMF Begonia,SMALL CLEAN TNKR (Bunkering),533131015,9370989,Straits Inter Logistics,SMF BEGONIA LTD,RINA,Kurinoura Dock,Straits Inter Logistics,Straits Inter Logistics
SMF Ixora,SMALL CLEAN TNKR (Bunkering),533130781,9414101,Straits Inter Logistics,SMF IXORA LTD,RINA,Nakatani,Tumpuan Megah Development,Straits Marine Services Pte
Smita,MR1 TNKR,,7332141,Unknown USA,,,Damen Ship Repair Rotterdam,Unknown USA,Unknown USA
Smits,SMALL CLEAN TNKR (Inland),,9174165,Undisclosed,UNKNOWN,,Sava Brodogradiliste,Undisclosed,Undisclosed
SMM Muturi,SMALL CLEAN TNKR,,9845362,Sumber Makmur Marine,SUMBER MAKMUR MARINE PT,,Unknown Yard Indonesia,Sumber Makmur Marine,Sumber Makmur Marine
Smooth Hound,LR1 TNKR,538002302,8715522,Prime Tanker Management,,withdrawn from DNV,B and W,Prime Tanker Management,Prime Tanker Management
Smooth Sea,SMALL CLEAN TNKR,567038700,8601630,Smooth Sea,SMOOTH SEA CO LTD,withdrawn from NKK,Shin Kurushima Hashihama,Smooth Sea,Smooth Sea
Smooth Sea,SUEZMAX TNKR,,7388827,Unknown Singaporean,,,Eriksbergs,Unknown Singaporean,Unknown Singaporean
Smooth Sea 102,SMALL CLEAN TNKR,567054500,9420899,Smooth Sea,SMOOTH SEA CO LTD,Other,Zhejiang Hongguan Ship Industry,Smooth Sea,Smooth Sea
Smooth Sea 17,SMALL CLEAN TNKR,567065300,8684709,Smooth Sea,SMOOTH SEA CO LTD,Other,Unknown Yard China,Smooth Sea,Smooth Sea
Smooth Sea 18,SMALL CLEAN TNKR,567522000,8684888,Smooth Sea,SMOOTH SEA CO LTD,Other,Beilun Lantian,Smooth Sea,Smooth Sea
Smooth Sea 2,SMALL CLEAN TNKR,567000550,8223660,Smooth Sea,SMOOTH SEA CO LTD,,Mitsubishi HI,Smooth Sea,Smooth Sea
Smooth Sea 21,SMALL DIRTY TNKR (Asphalt),567002160,8776394,Smooth Sea,SMOOTH SEA CO LTD,,Unknown Yard,Smooth Sea,Smooth Sea
Smooth Sea 22,SMALL CLEAN TNKR,567069700,9870991,Smooth Sea,SMOOTH SEA CO LTD,,Unknown Yard,Smooth Sea,Smooth Sea
Smooth Sea 29,SMALL CLEAN TNKR,567002760,9896945,Smooth Sea,SMOOTH SEA CO LTD,,Zhaobao Shipyard,Smooth Sea,Smooth Sea
Smooth Sea 3,SMALL CLEAN TNKR (Chemical / Product),567287000,8303616,Smooth Sea,SMOOTH SEA CO LTD,withdrawn from NKK,Fukuoka,Smooth Sea,Smooth Sea
