X,Y,portid,portname,country,ISO3,continent,fullname,lat,lon,vessel_count_total,vessel_count_container,vessel_count_dry_bulk,vessel_count_general_cargo,vessel_count_RoRo,vessel_count_tanker,industry_top1,industry_top2,industry_top3,share_country_maritime_import,share_country_maritime_export,LOCODE,pageid,countrynoaccents,ObjectId
15069074.0426041,4123475.26469523,port40,Amagasaki-Nishinomiya-Ashiya,Japan,JPN,Asia & Pacific,"Amagasaki-Nishinomiya-Ashiya, Japan",34.70213108,135.3677953,1106,0,239,567,59,241,Mineral Products,Prepared Foodstuffs & Beverages,Metals,0.06,0.04,JP AMA,694f8533a6b9437786140dc08ba3d47a,Japan,450
15669365.676881,4989102.75545066,port59,Aomori,Japan,JPN,Asia & Pacific,"Aomori, Japan",40.84225958,140.7603068,622,0,82,96,0,444,Mineral Products,Metals,Chemical & Allied Industries,0.19,0.05,,da1b90b60b1248caa387357a4076c625,Japan,451
15590555.0841508,4235476.55091439,port239,Chiba,Japan,JPN,Asia & Pacific,"Chiba, Japan",35.52513992,140.0523392,13509,168,1004,2370,692,9275,Mineral Products,Chemical & Allied Industries,Metals,4.68,5.1,,a432aba86637409ca14f22f7eeec3101,Japan,452
15152267.9627357,4326135.91313057,port363,Fukui,Japan,JPN,Asia & Pacific,"Fukui, Japan",36.18520937,136.115139,348,0,75,65,9,199,Mineral Products,Metals,Chemical & Allied Industries,0.09,0.01,,8fba0d7c1e9849f2bd37cb5acae2b73f,Japan,453
14854311.0708385,4091125.94448659,port364,Fukuyama,Japan,JPN,Asia & Pacific,"Fukuyama, Japan",34.46287853,133.4385467,5266,374,740,3538,113,501,Mineral Products,Metals,Chemical & Allied Industries,3.54,2.66,,b8ed6cc1034a4a25a9983c50309fb01b,Japan,454
15581178.4764621,4255973.25778655,port365,Funabashi,Japan,JPN,Asia & Pacific,"Funabashi, Japan",35.67485206,139.9681077,5058,59,343,2983,238,1435,Mineral Products,Metals,Chemical & Allied Industries,0.37,0.46,JP FNB,99a12a2c32434006b68e461af9fb6a2f,Japan,455
15266619.1508051,4406907.62131332,port369,Fushiki-Toyama,Japan,JPN,Asia & Pacific,"Fushiki-Toyama, Japan",36.76864401,137.1423732,1234,231,137,386,156,324,Mineral Products,Metals,Vegetable Products,0.44,0.13,,d00bf534bbc04f7ea0d37d2276ce5f98,Japan,456
15752915.184862,4945478.38382251,port433,Hachinohe,Japan,JPN,Asia & Pacific,"Hachinohe, Japan",40.54513127,141.5108448,2655,178,526,1112,94,745,Mineral Products,Vegetable Products,Metals,1.02,0.39,,4b7a99f104494117b7fbda83cf61b6e9,Japan,457
14515799.9652437,3979455.15491071,port439,Hakata,Japan,JPN,Asia & Pacific,"Hakata, Japan",33.63170193,130.3976497,5762,1792,241,1282,987,1460,Mineral Products,Vegetable Products,Wood & Wood Products,0.78,0.6,,5336f6c6e45643589aaea0b04709fd86,Japan,458
15662456.9555114,5130892.34572886,port440,Hakodate,Japan,JPN,Asia & Pacific,"Hakodate, Japan",41.79882813,140.6982447,2029,24,798,541,4,662,Mineral Products,Chemical & Allied Industries,"Plastics, Rubber, Leather",0.25,1.13,,21aa2d73e4ec45f6a47e323dfa886c6c,Japan,459
3601622.0765643,3458310.13543399,port828,El Sokhna,Egypt,EGY,Africa,"El Sokhna, Egypt",29.64742882,32.35392159,613,283,100,43,2,185,Mineral Products,Chemical & Allied Industries,Vegetable Products,19.83,4.3,,8fb233a8b10b4452ae3d4694fe7fdbf4,Egypt,460
14699931.96536,4147504.64817335,port445,Hamada,Japan,JPN,Asia & Pacific,"Hamada, Japan",34.87940375,132.0517356,190,14,68,99,3,6,Vegetable Products,Mineral Products,Wood & Wood Products,0.04,0.01,,6089b5b5df0e4044872bd601ce4adc77,Japan,461
11801576.5482506,-658568.911745201,port1271,Tanjung Sekong,Indonesia,IDN,Asia & Pacific,"Tanjung Sekong, Indonesia",-5.905540925,106.0153659,1461,5,387,77,26,966,Mineral Products,Chemical & Allied Industries,Metals,7.92,0.93,,9135f8ade20149c8bd66addceacc54e6,Indonesia,462
5528169.36079122,3130436.22068448,port24,Jubail,Saudi Arabia,SAU,Asia & Pacific,"Jubail, Saudi Arabia",27.05573014,49.6603903,2195,302,383,88,5,1417,Mineral Products,Chemical & Allied Industries,Vegetable Products,9.1,13.23,,2e70626f9f8d40ee83f3195c99c59dd3,Saudi Arabia,463
15066754.5340342,4090239.73362387,port452,Hannan,Japan,JPN,Asia & Pacific,"Hannan, Japan",34.45631451,135.3469588,537,0,48,245,0,244,Mineral Products,Vehicles & Equipment,Vegetable Products,0.12,0.03,,a2e495cd208847318945be7840870a04,Japan,464
13124251.1269923,-4168505.93626426,port28,Albany,Australia,AUS,Asia & Pacific,"Albany, Australia",-35.03402477,117.8971538,130,0,122,6,0,2,Vegetable Products,Mineral Products,Wood & Wood Products,0.16,0.23,AU ALH,451854e1f7144031a5aa7f728346c4c5,Australia,465
15007366.7545506,4127341.70892304,port463,Higashiharima,Japan,JPN,Asia & Pacific,"Higashiharima, Japan",34.73068083,134.8134693,4669,1,639,2848,207,974,Mineral Products,Metals,Chemical & Allied Industries,2.26,1.15,,517b1f33cea342b4afc3de9d1aee7024,Japan,466
1118542.89441914,8189026.47267335,port634,Larvik,Norway,NOR,Europe,"Larvik, Norway",59.03994928,10.04804178,332,181,0,133,0,18,Wood & Wood Products,Animal & Animal Products,Mineral Products,0.36,0.33,NO LAR,5fc0822b52394cba9e281c749ddb6df4,Norway,467
4160698.89500256,5672703.07353319,port1283,Temryuk,Russian Federation,RUS,Europe,"Temryuk, Russian Federation",45.32418556,37.3761941,752,1,11,369,8,363,Mineral Products,Chemical & Allied Industries,"Plastics, Rubber, Leather",0.14,0.44,,614468ef3a314249a676cba02c38c4f5,Russian Federation,468
13080159.7921345,241170.970999793,port1272,Tanjung Redeb,Indonesia,IDN,Asia & Pacific,"Tanjung Redeb, Indonesia",2.165959622,117.5010746,154,80,0,36,0,38,Mineral Products,Chemical & Allied Industries,Prepared Foodstuffs & Beverages,0.06,0.01,,831a863658e94a04ab6462843c8f2964,Indonesia,469
5587614.73141334,3058189.23395087,port275,Dammam,Saudi Arabia,SAU,Asia & Pacific,"Dammam, Saudi Arabia",26.47626701,50.19439715,1622,556,499,271,261,35,Mineral Products,Metals,Chemical & Allied Industries,18.81,0.92,,2691703b702a4cd19e86b482ae00238c,Saudi Arabia,470
16833276.453513,-4026322.83139447,port161,Port Botany,Australia,AUS,Asia & Pacific,"Port Botany, Australia",-33.98153451,151.2158952,1424,1042,2,30,0,350,Mineral Products,Chemical & Allied Industries,Vegetable Products,9.63,0.1,AU BTB,76e70f1bbaa6425a87c17a98184b7736,Australia,471
