mmsi,msr,spc,sdr,port_dwell,port_interval,turn_nonport,san_port_dwell,san_of_port
240657000,0.086068,0.2835,0.138571,0.096482,0.317,1.003188,0.000588,0.005862
629009452,0.086466,0.4189,0.611438,0.217045,0.0,0.0,0.000196,0.0
538008070,0.086601,0.4857,0.143353,0.090444,0.0892,2.725053,2.7e-05,0.0
631010086,0.086769,0.5354,0.371857,0.168299,0.2562,1.468492,0.000138,0.000592
240891000,0.087084,0.463,0.100205,0.066018,0.2286,1.387648,0.005732,0.086511
241408000,0.087103,0.432,0.256923,0.164746,0.3351,1.399086,0.000228,0.001204
351206000,0.087107,0.4878,0.430972,0.004199,0.0,8.023975,3.9e-05,0.0
352005437,0.08736,0.454,0.167303,0.119619,0.0939,0.60587,0.004991,0.041524
613271440,0.088081,0.3892,0.258401,0.392239,0.094,0.785004,0.006479,0.016423
613442258,0.088104,0.3669,0.130037,0.178369,0.168,1.409605,0.000122,0.0
350652000,0.088267,0.527,0.398434,0.118527,0.0247,1.659181,0.000172,0.000743
235076275,0.088439,0.5438,0.143374,0.331103,0.1353,1.771495,3.7e-05,0.0
632001158,0.088724,0.5209,0.258788,0.065522,0.0576,2.125752,0.000151,0.0
632001144,0.08874,0.4176,0.079111,0.096408,0.0609,3.774424,0.000169,0.0
314001093,0.088893,0.5124,0.213228,0.229794,0.3397,2.842167,0.001075,0.004573
215401000,0.088949,0.4664,0.166373,0.441292,0.1679,2.270538,0.000407,0.000855
564329000,0.08911,0.4773,0.180934,0.101576,0.1388,1.953427,2.4e-05,0.0
273271660,0.089203,0.4134,0.116909,0.097929,0.0555,3.292836,0.000565,0.005487
461000233,0.089248,0.3919,0.298059,0.115864,0.1205,1.494732,0.025837,0.222732
461000260,0.089406,0.4266,0.234402,0.126499,0.1039,2.188961,0.001462,0.011275
370309000,0.089897,0.4348,0.210258,0.09072,0.0621,5.182784,3.1e-05,0.0
413858000,0.090258,0.3679,0.143353,0.161196,0.0979,3.400783,0.000227,0.00124
538003526,0.090348,0.5316,0.136814,0.132469,0.2711,1.409605,3e-05,0.0
636091686,0.090759,0.4652,0.171131,0.135357,0.1522,3.521757,3.7e-05,0.0
419001313,0.091102,0.5231,0.060725,0.088908,0.1467,3.644687,1.9e-05,0.0
