mmsi,ship_name,country,gap_24h_ratio,non_anch_low_ratio,cog_high_vol_ratio,loitering_h_ratio,non_anch_low_max_dur_h,cog_very_high_vol_ratio,non_anch_low_events,age_risk,flag_score,msr,spc,sdr,port_dwell,port_interval,turn_nonport,san_port_dwell,san_of_port,company_count,logistic_score,logistic_score_std,logistic_score_ci95_lower,logistic_score_ci95_upper,prediction_credibility,anomaly_index,confidence_grade,sanction_sources,hit_ofac,quadrant
273270180,Forwarder,Russia,0.000109,0.04261,0.042255,0.042563,23.5,0.02344,77,1,1,0.023049,0.3378,0.39413,0.100101,0.1711,1.745204,5.3e-05,0.0,39.0,86.06,8.52,69.36,100.0,高可信,2.76,B,3,True,A_确认影子
314204000,Gold Tide,Barbados,0.000122,0.591942,0.099527,0.591955,724.7,0.019954,515,2,1,0.111176,0.6799,0.292896,0.040098,0.0675,1.050863,2.6e-05,0.0,43.0,86.05,7.89,70.59,100.0,高可信,28.63,B,0,False,B_潜在影子
667001237,Bivola,Sierra Leone,0.00108,0.095074,0.082133,0.095005,117.5,0.036423,174,2,2,0.195145,0.4387,0.347414,0.103884,0.1127,1.222366,0.000373,0.002724,24.0,86.0,10.02,66.36,100.0,高可信,5.95,B,2,False,A_确认影子
613489900,Loyal Glide,Cameroon,0.00032,0.274811,0.1429,0.274779,88.4,0.091476,65,2,3,0.196123,0.4351,0.463273,0.010819,0.1166,1.0101,0.000104,0.0,24.0,85.97,13.4,59.71,100.0,中可信,15.23,C,2,False,A_确认影子
667002270,Sapna,Sierra Leone,0.000163,0.184098,0.129893,0.184082,94.7,0.050401,291,2,2,0.079289,0.5359,0.327107,0.189163,0.2465,1.562052,0.001298,0.006694,48.0,85.81,13.46,59.43,100.0,高可信,10.89,A,2,False,A_确认影子
273277060,Jagger,Russia,0.000127,0.111622,0.030641,0.1116,147.8,0.012718,71,1,1,0.033866,0.3664,0.223977,0.070143,0.0419,4.891298,0.001765,0.024737,36.0,85.78,4.55,76.86,94.7,高可信,5.64,A,3,True,A_确认影子
667002086,Ma Jin,Sierra Leone,0.000381,0.356533,0.141372,0.356528,305.3,0.066482,219,1,2,0.127789,0.5458,0.235765,0.050076,0.0779,3.379774,5.7e-05,0.0,36.0,85.71,9.45,67.19,100.0,高可信,18.88,A,2,False,A_确认影子
273275260,Skif,Russia,0.000272,0.336337,0.252009,0.336328,804.6,0.147994,39,1,1,0.021712,0.4958,0.382243,0.074428,0.0798,1.690389,0.000454,0.005324,33.0,85.71,7.68,70.66,100.0,高可信,20.18,A,3,True,A_确认影子
314115000,Jing Hai,Barbados,0.000241,0.074451,0.037098,0.074427,126.2,0.018715,77,2,1,0.050553,0.4142,0.169195,0.10291,0.2221,1.176107,0.000211,0.001768,35.0,85.63,10.98,64.11,100.0,高可信,4.1,A,0,False,B_潜在影子
273276660,Viktor Titov,Russia,0.000212,0.072317,0.066056,0.07228,73.6,0.035924,127,2,1,0.012795,0.3081,0.152075,0.082432,0.0157,1.874149,4.6e-05,0.0,24.0,85.55,9.17,67.58,100.0,高可信,4.58,A,3,True,A_确认影子
