mmsi,msf,dsr,vrs,sbi,aii
613327400,56.1,0.5588,44.3,10.7,0.4
613881500,56.1,0.675,61.1,50.6,2.17
667001245,55.5,0.35,48.5,8.5,0.24
538007962,55.5,0.25,65.4,14.4,0.18
631010086,54.8,0.5588,32.4,27.1,0.49
240447000,54.8,0.6018,41.6,10.4,0.69
273271070,54.8,0.5263,59.6,16.8,0.13
632001158,54.8,0.5,41.0,21.9,0.01
613471903,54.5,0.708,60.9,6.4,0.79
647553032,54.4,0.2941,25.5,25.2,0.12
311000279,54.2,0.3636,79.8,7.4,0.18
613290000,54.1,0.0909,9.8,4.7,0.05
525119077,54.1,0.0204,13.2,75.7,0.06
235076275,54.0,0.5584,80.7,12.5,0.33
563353000,53.6,0.6277,25.8,14.0,0.45
538003882,53.5,0.4805,77.2,10.6,0.52
477227900,53.4,0.5,35.2,17.4,0.11
356075000,53.3,0.5513,94.7,10.0,0.42
631010081,53.1,0.9535,109.7,18.2,1.12
613472010,53.0,0.5,44.2,5.4,0.23
273255820,52.8,0.4203,13.7,7.6,0.33
419756000,52.8,0.2439,33.7,10.9,0.17
667001249,52.6,0.4576,54.6,10.4,0.26
350652000,52.3,0.3913,34.0,13.7,0.35
636013611,52.0,0.4894,89.5,3.3,0.4
563216200,51.6,0.7,64.9,6.4,0.37
314001154,51.0,0.52,41.6,9.8,0.31
636015150,50.8,0.3882,44.7,5.8,0.23
613442818,50.7,0.0,0.4,15.3,0.0
273250930,50.6,0.7733,70.7,10.8,0.41
538003450,50.5,0.7273,45.7,8.3,0.47
240944000,50.3,0.0756,20.1,7.7,0.07
649136000,50.1,0.6032,106.8,18.8,0.69
667002291,50.0,0.5484,56.0,22.3,0.37
632001155,50.0,0.725,59.3,17.0,0.26
650000122,49.5,0.5,36.2,19.5,0.0
631010103,49.4,0.7872,77.9,6.0,0.51
631010085,49.3,0.8571,35.4,10.0,0.18
613404110,49.2,0.8367,56.3,17.6,0.51
312868800,49.0,0.0,7.0,999.0,0.0
273264590,48.6,0.5652,9.7,20.3,0.23
647553027,48.6,0.2222,35.6,5.8,0.0
667002335,48.5,0.5682,59.1,6.2,0.21
525100241,48.5,0.3544,11.2,13.6,0.31
667001252,48.4,0.6471,71.0,20.3,0.53
352006683,48.4,0.1538,31.3,4.1,0.05
518998343,48.0,0.0,4.8,32.3,0.0
613881404,47.9,0.5667,60.5,24.5,0.29
314115000,47.5,0.4348,48.4,26.9,0.27
613667000,47.3,0.3761,54.8,9.4,0.43
538010103,47.1,0.7727,114.6,8.8,0.33
613471902,46.8,0.5455,33.3,9.5,0.3
461000260,46.8,0.3918,59.2,15.9,0.28
538012078,46.7,0.2087,48.5,14.4,0.21
636017817,46.7,0.3725,12.1,15.8,0.43
667001321,46.7,0.4507,59.3,4.9,0.21
273619700,46.6,0.0,1.3,12.2,0.04
352005486,46.5,0.56,50.5,22.8,0.35
631010100,46.3,0.557,59.1,9.6,0.2
667002468,46.1,0.5714,19.7,5.9,0.85
570389201,45.7,0.4872,36.9,2.4,0.27
